codigos,nome,classe,qtd,part
RRRP3,3R PETROLEUM,ON      NM,238441689,0.329
ALOS3,ALLOS,ON      NM,532616595,0.541
ALPA4,ALPARGATAS,PN      N1,166362038,0.079
ABEV3,AMBEV S/A,ON,4394245879,2.528
ARZZ3,AREZZO CO,ON      NM,62305891,0.152
ASAI3,ASSAI,ON      NM,1349217892,0.861
AZUL4,AZUL,PN      N2,332825777,0.16
B3SA3,B3,ON      NM,5602790110,2.979
BBSE3,BBSEGURIDADE,ON      NM,671750768,1.077
BBDC3,BRADESCO,ON      N1,1489259656,0.841
BBDC4,BRADESCO,PN      N1,5135772281,3.234
BRAP4,BRADESPAR,PN      N1,250992819,0.242
BBAS3,BRASIL,ON      NM,2842247534,3.757
BRKM5,BRASKEM,PNA     N1,265877867,0.254
BRFS3,BRF SA,ON      NM,835221269,0.771
BPAC11,BTGP BANCO,UNT     N2,1150645866,1.831
CRFB3,CARREFOUR BR,ON      NM,533990587,0.279
CCRO3,CCR SA,ON      NM,995335937,0.59
CMIG4,CEMIG,PN      N1,1868640510,0.939
CIEL3,CIELO,ON      NM,1095462329,0.294
COGN3,COGNA ON,ON      NM,1814903540,0.175
CPLE6,COPEL,PNB     N2,1679233590,0.764
CSAN3,COSAN,ON      NM,1168966848,0.791
CPFE3,CPFL ENERGIA,ON      NM,187732538,0.313
CMIN3,CSNMINERACAO,ON  ED  N2,1110559345,0.29
CVCB3,CVC BRASIL,ON      NM,525582771,0.051
CYRE3,CYRELA REALT,ON      NM,265784616,0.253
DXCO3,DEXCO,ON      NM,302768240,0.109
ELET3,ELETROBRAS,ON      N1,1945040784,3.388
ELET6,ELETROBRAS,PNB     N1,268733136,0.525
EMBR3,EMBRAER,ON      NM,734632601,1.366
ENGI11,ENERGISA,UNT     N2,326265871,0.714
ENEV3,ENEVA,ON      NM,1579630820,0.956
EGIE3,ENGIE BRASIL,ON      NM,255236961,0.545
EQTL3,EQUATORIAL,ON      NM,1155467134,1.663
EZTC3,EZTEC,ON      NM,91514307,0.059
FLRY3,FLEURY,ON      NM,240822651,0.167
GGBR4,GERDAU,PN  ED  N1,1246339197,1.112
GOAU4,GERDAU MET,PN  ED  N1,660411219,0.343
NTCO3,GRUPO NATURA,ON      NM,849346756,0.655
SOMA3,GRUPO SOMA,ON      NM,496029967,0.144
HAPV3,HAPVIDA,ON      NM,4394332306,0.929
HYPE3,HYPERA,ON      NM,409490388,0.592
IGTI11,IGUATEMI S.A,UNT     N1,217622138,0.212
IRBR3,IRBBRASIL RE,ON      NM,81838843,0.131
ITSA4,ITAUSA,PN      N1,5560910983,2.705
ITUB4,ITAUUNIBANCO,PN      N1,4740126023,7.394
JBSS3,JBS,ON      NM,1134986472,1.601
KLBN11,KLABIN S/A,UNT     N2,777422123,0.785
RENT3,LOCALIZA,ON      NM,854504168,1.881
LREN3,LOJAS RENNER,ON      NM,951452770,0.6
LWSA3,LWSA,ON      NM,428737358,0.085
MGLU3,MAGAZ LUIZA,ON      NM,3517574129,0.249
MRFG3,MARFRIG,ON      NM,331799687,0.187
BEEF3,MINERVA,ON      NM,261036182,0.08
MRVE3,MRV,ON      NM,375130280,0.131
MULT3,MULTIPLAN,ON      N2,268505432,0.296
PCAR3,P.ACUCAR-CBD,ON      NM,379400826,0.055
PETR3,PETROBRAS,ON      N2,2150495108,4.008
PETR4,PETROBRAS,PN      N2,4566445852,8.161
RECV3,PETRORECSA,ON      NM,275166463,0.265
PRIO3,PETRORIO,ON      NM,804019521,1.708
PETZ3,PETZ,ON      NM,314729428,0.062
RADL3,RAIADROGASIL,ON      NM,1280079284,1.674
RAIZ4,RAIZEN,PN      N2,1210920604,0.163
RDOR3,REDE D OR,ON      NM,1144776793,1.602
RAIL3,RUMO S.A.,ON      NM,1218352541,1.2
SBSP3,SABESP,ON      NM,340001799,1.225
SANB11,SANTANDER BR,UNT,342918449,0.464
SMTO3,SAO MARTINHO,ON      NM,142348116,0.186
CSNA3,SID NACIONAL,ON  ED,600865451,0.385
SLCE3,SLC AGRICOLA,ON      NM,194217908,0.171
SUZB3,SUZANO S.A.,ON      NM,664114223,1.542
TAEE11,TAESA,UNT EJ  N2,218568234,0.373
VIVT3,TELEF BRASIL,ON,408343528,0.904
TIMS3,TIM,ON      NM,807896814,0.652
TOTS3,TOTVS,ON      NM,514122351,0.74
TRPL4,TRAN PAULIST,PN      N1,395801044,0.509
UGPA3,ULTRAPAR,ON      NM,1087228062,1.279
USIM5,USIMINAS,PNA     N1,515117391,0.203
VALE3,VALE,ON      NM,4427123466,13.926
VAMO3,VAMOS,ON      NM,498860020,0.199
VBBR3,VIBRA,ON      NM,1114613709,1.237
VIVA3,VIVARA S.A.,ON      NM,125912025,0.136
WEGE3,WEG,ON      NM,1482105837,2.798
YDUQ3,YDUQS PART,ON      NM,289347914,0.194
