index,ÚLT. PREÇO,Price Date
2024-06-01,0.10401999999999999,Today
2024-07-01,0.1035,Today
2024-08-01,0.10286,Today
2024-09-01,0.1026,Today
2024-10-01,0.10235,Today
2024-11-01,0.1023,Today
2024-12-01,0.10220000000000001,Today
2025-01-01,0.10210000000000001,Today
2025-02-01,0.10215,Today
2025-03-01,0.10220000000000001,Today
2025-04-01,0.10220000000000001,Today
2025-05-01,0.10235,Today
2025-07-01,0.1027,Today
2025-10-01,0.10345,Today
2026-01-01,0.10425000000000001,Today
2026-04-01,0.1052,Today
2026-07-01,0.106,Today
2026-10-01,0.1067,Today
2027-01-01,0.1073,Today
2027-04-01,0.10800000000000001,Today
2027-07-01,0.10880000000000001,Today
2027-10-01,0.1094,Today
2028-01-01,0.11005000000000001,Today
2028-04-01,0.1107,Today
2028-07-01,0.11130000000000001,Today
2028-10-01,0.1117,Today
2029-01-01,0.11199999999999999,Today
2029-04-01,0.11230000000000001,Today
2029-07-01,0.1125,Today
2030-01-01,0.1134,Today
2031-01-01,0.11410000000000001,Today
2032-01-01,0.11460000000000001,Today
2033-01-01,0.1149,Today
2034-01-01,0.11449999999999999,Today
2035-01-01,0.1151,Today
2023-06-01,0.13654,One year ago
2023-07-01,0.1364,One year ago
2023-08-01,0.13624,One year ago
2023-09-01,0.13574999999999998,One year ago
2023-10-01,0.13545,One year ago
2023-11-01,0.1346,One year ago
2023-12-01,0.1334,One year ago
2024-01-01,0.1322,One year ago
2024-02-01,0.1307,One year ago
2024-03-01,0.1295,One year ago
2024-04-01,0.12825,One year ago
2024-05-01,0.1266,One year ago
2024-07-01,0.12380000000000001,One year ago
2024-10-01,0.1197,One year ago
2025-01-01,0.11689999999999999,One year ago
2025-04-01,0.11574999999999999,One year ago
2025-07-01,0.1148,One year ago
2025-10-01,0.11455,One year ago
2026-01-01,0.1143,One year ago
2026-04-01,0.1149,One year ago
2026-07-01,0.11515,One year ago
2026-10-01,0.11585000000000001,One year ago
2027-01-01,0.11574999999999999,One year ago
2027-04-01,0.11635,One year ago
2027-07-01,0.11720000000000001,One year ago
2027-10-01,0.11755,One year ago
2028-01-01,0.11765,One year ago
2028-04-01,0.11835000000000001,One year ago
2029-01-01,0.1199,One year ago
2030-01-01,0.1213,One year ago
2031-01-01,0.12240000000000001,One year ago
2032-01-01,0.1229,One year ago
2033-01-01,0.12369999999999999,One year ago
2021-06-01,0.03404,Three year ago
2021-07-01,0.0361,Three year ago
2021-08-01,0.03816,Three year ago
2021-09-01,0.0408,Three year ago
2021-10-01,0.042699999999999995,Three year ago
2021-11-01,0.0446,Three year ago
2021-12-01,0.0467,Three year ago
2022-01-01,0.04845,Three year ago
2022-02-01,0.05025,Three year ago
2022-03-01,0.05205,Three year ago
2022-04-01,0.05365,Three year ago
2022-05-01,0.05505,Three year ago
2022-07-01,0.0583,Three year ago
2022-10-01,0.0626,Three year ago
2023-01-01,0.0662,Three year ago
2023-04-01,0.0693,Three year ago
2023-07-01,0.0719,Three year ago
2023-10-01,0.07400000000000001,Three year ago
2024-01-01,0.0757,Three year ago
2024-04-01,0.077,Three year ago
2024-07-01,0.0785,Three year ago
2025-01-01,0.0806,Three year ago
2025-07-01,0.0821,Three year ago
2025-10-01,0.0828,Three year ago
2026-01-01,0.08349999999999999,Three year ago
2026-04-01,0.0842,Three year ago
2026-07-01,0.085,Three year ago
2027-01-01,0.0862,Three year ago
2028-01-01,0.08779999999999999,Three year ago
2029-01-01,0.0892,Three year ago
2030-01-01,0.0901,Three year ago
2031-01-01,0.0909,Three year ago
2033-01-01,0.09179999999999999,Three year ago
2019-06-01,0.06407,Five year ago
2019-07-01,0.06404,Five year ago
2019-08-01,0.06402000000000001,Five year ago
2019-09-01,0.06405,Five year ago
2019-10-01,0.064,Five year ago
2019-11-01,0.064,Five year ago
2019-12-01,0.064,Five year ago
2020-01-01,0.06394999999999999,Five year ago
2020-02-01,0.0642,Five year ago
2020-03-01,0.06455,Five year ago
2020-04-01,0.06455,Five year ago
2020-05-01,0.0649,Five year ago
2020-07-01,0.0654,Five year ago
2020-10-01,0.0672,Five year ago
2021-01-01,0.0691,Five year ago
2021-04-01,0.0712,Five year ago
2021-07-01,0.0728,Five year ago
2021-10-01,0.0747,Five year ago
2022-01-01,0.0758,Five year ago
2022-04-01,0.07719999999999999,Five year ago
2022-07-01,0.0783,Five year ago
2022-10-01,0.0796,Five year ago
2023-01-01,0.08039999999999999,Five year ago
2023-04-01,0.0816,Five year ago
2023-07-01,0.0824,Five year ago
2024-01-01,0.08380000000000001,Five year ago
2024-07-01,0.0852,Five year ago
2025-01-01,0.0857,Five year ago
2026-01-01,0.0876,Five year ago
2027-01-01,0.0889,Five year ago
2028-01-01,0.0902,Five year ago
2029-01-01,0.0906,Five year ago
2014-06-01,0.10815,Ten year ago
2014-07-01,0.10856,Ten year ago
2014-08-01,0.10880000000000001,Ten year ago
2014-09-01,0.10890000000000001,Ten year ago
2014-10-01,0.1091,Ten year ago
2015-01-01,0.1097,Ten year ago
2015-04-01,0.1121,Ten year ago
2015-07-01,0.1149,Ten year ago
2015-10-01,0.11699999999999999,Ten year ago
2016-01-01,0.1184,Ten year ago
2016-04-01,0.1197,Ten year ago
2016-07-01,0.12050000000000001,Ten year ago
2016-10-01,0.1209,Ten year ago
2017-01-01,0.12119999999999999,Ten year ago
2017-04-01,0.1217,Ten year ago
2017-07-01,0.122,Ten year ago
2017-10-01,0.1225,Ten year ago
2018-01-01,0.12279999999999999,Ten year ago
2018-04-01,0.12300000000000001,Ten year ago
2018-07-01,0.1233,Ten year ago
2018-10-01,0.12279999999999999,Ten year ago
2019-01-01,0.1234,Ten year ago
2019-10-01,0.12300000000000001,Ten year ago
2020-01-01,0.1234,Ten year ago
2020-07-01,0.12369999999999999,Ten year ago
2021-01-01,0.12380000000000001,Ten year ago
2022-01-01,0.1241,Ten year ago
2023-01-01,0.12480000000000001,Ten year ago
2024-01-01,0.1253,Ten year ago
2025-01-01,0.12619999999999998,Ten year ago
